,log_return,simple_return,historical_volatility_5,historical_volatility_10,historical_volatility_21,historical_volatility_63,sma_5,sma_10,sma_21,sma_50,ema_10,ema_21,ema_50,rsi_14,atr_14,log_volume,volume_change
log_return,1.0,0.9997528933144724,0.004806911273750122,-0.003030549653699615,8.386011194910923e-05,0.0016580310117347151,0.011678169761302997,0.010548627334076787,0.010487039338026291,0.011086574835469333,0.011354398071196129,0.010982893224484147,0.01115069152668954,0.30145888169452945,0.007185914070921241,-0.04700843843927094,-0.20351624446562103
simple_return,0.9997528933144724,1.0,0.01756967607434955,0.00856631356517496,0.010182605982224677,0.009091364676891167,0.010589640609201811,0.009532859471250045,0.009582638943647071,0.010337559805903783,0.01032699233756613,0.01005170485211115,0.01035127075865981,0.2964676963774774,0.012118303246663485,-0.04355086879194741,-0.20108678750646897
historical_volatility_5,0.004806911273750122,0.01756967607434955,1.0,0.9021268329099833,0.8067782041853435,0.6407003485837429,-0.12255387798383394,-0.11789897961066544,-0.10849624543207946,-0.09479430280918692,-0.11812644522470953,-0.11022479528544432,-0.09840738715672435,-0.4635931567550258,0.39771389253573747,0.17474402233556785,-0.009447210719201836
historical_volatility_10,-0.003030549653699615,0.00856631356517496,0.9021268329099833,1.0,0.9180539102233194,0.7324550073646642,-0.13230734715537962,-0.12934627325566922,-0.11950388662963086,-0.1029216943294707,-0.12869665811214157,-0.12077403131220915,-0.1070425238730179,-0.4512536493930266,0.4482485935217714,0.16353317498606948,-0.012200582626712256
historical_volatility_21,8.386011194910923e-05,0.010182605982224677,0.8067782041853435,0.9180539102233194,1.0,0.8322079414449044,-0.13290503423322683,-0.13167440902783523,-0.1259946325111353,-0.10707492004222813,-0.13092466824078483,-0.125300556836198,-0.11087184837326886,-0.3761938912867341,0.4723753897607519,0.14230323858778765,-0.016742713411967432
historical_volatility_63,0.0016580310117347151,0.009091364676891167,0.6407003485837429,0.7324550073646642,0.8322079414449044,1.0,-0.1304013817949659,-0.13041097035557808,-0.12913928382899728,-0.12106894064886953,-0.13007139899751682,-0.1282637454902722,-0.11980016180065417,-0.22402181950194647,0.3997753844702995,0.10822914665088905,-0.011035322719120305
sma_5,0.011678169761302997,0.010589640609201811,-0.12255387798383394,-0.13230734715537962,-0.13290503423322683,-0.1304013817949659,1.0,0.9998966323307691,0.9995337218005719,0.9985945057747269,0.9999420601062599,0.9997106288095013,0.9990698344938589,0.14629629382349574,0.7132271251586938,0.06334183830047908,-0.017898247024330103
sma_10,0.010548627334076787,0.009532859471250045,-0.11789897961066544,-0.12934627325566922,-0.13167440902783523,-0.13041097035557808,0.9998966323307691,1.0,0.9997811154627883,0.9988902954957857,0.9999798275532219,0.9998785261291452,0.9993231176738564,0.13898247251628051,0.7151334464483707,0.06394254176647071,-0.017883769030662553
sma_21,0.010487039338026291,0.009582638943647071,-0.10849624543207946,-0.11950388662963086,-0.1259946325111353,-0.12913928382899728,0.9995337218005719,0.9997811154627883,1.0,0.999413470580249,0.9997892079291393,0.9999597195148707,0.9996900038896549,0.1281978420283919,0.7211645027935389,0.06374708882187749,-0.018475818538703476
sma_50,0.011086574835469333,0.010337559805903783,-0.09479430280918692,-0.1029216943294707,-0.10707492004222813,-0.12106894064886953,0.9985945057747269,0.9988902954957857,0.999413470580249,1.0,0.9989495364411176,0.9994514987962039,0.9999059300492156,0.11496711866898626,0.7365652195742424,0.06045740089408455,-0.019384658987193125
ema_10,0.011354398071196129,0.01032699233756613,-0.11812644522470953,-0.12869665811214157,-0.13092466824078483,-0.13007139899751682,0.9999420601062599,0.9999798275532219,0.9997892079291393,0.9989495364411176,1.0,0.9998962230943047,0.9993665118587326,0.14045620156618138,0.7156736293240562,0.06359950863143819,-0.018062152220839227
ema_21,0.010982893224484147,0.01005170485211115,-0.11022479528544432,-0.12077403131220915,-0.125300556836198,-0.1282637454902722,0.9997106288095013,0.9998785261291452,0.9999597195148707,0.9994514987962039,0.9998962230943047,1.0,0.999731605548852,0.13137955348257271,0.7213073353729094,0.0631331586056358,-0.018463241872571274
ema_50,0.01115069152668954,0.01035127075865981,-0.09840738715672435,-0.1070425238730179,-0.11087184837326886,-0.11980016180065417,0.9990698344938589,0.9993231176738564,0.9996900038896549,0.9999059300492156,0.9993665118587326,0.999731605548852,1.0,0.11992850311334625,0.7338189182023142,0.05955189408526693,-0.019176570832099164
rsi_14,0.30145888169452945,0.2964676963774774,-0.4635931567550258,-0.4512536493930266,-0.3761938912867341,-0.22402181950194647,0.14629629382349574,0.13898247251628051,0.1281978420283919,0.11496711866898626,0.14045620156618138,0.13137955348257271,0.11992850311334625,1.0,-0.18377427970565632,-0.1040943870813616,-0.07510670739867495
atr_14,0.007185914070921241,0.012118303246663485,0.39771389253573747,0.4482485935217714,0.4723753897607519,0.3997753844702995,0.7132271251586938,0.7151334464483707,0.7211645027935389,0.7365652195742424,0.7156736293240562,0.7213073353729094,0.7338189182023142,-0.18377427970565632,1.0,0.08887003649145717,-0.026432376020466337
log_volume,-0.04700843843927094,-0.04355086879194741,0.17474402233556785,0.16353317498606948,0.14230323858778765,0.10822914665088905,0.06334183830047908,0.06394254176647071,0.06374708882187749,0.06045740089408455,0.06359950863143819,0.0631331586056358,0.05955189408526693,-0.1040943870813616,0.08887003649145717,1.0,0.13203482914827844
volume_change,-0.20351624446562103,-0.20108678750646897,-0.009447210719201836,-0.012200582626712256,-0.016742713411967432,-0.011035322719120305,-0.017898247024330103,-0.017883769030662553,-0.018475818538703476,-0.019384658987193125,-0.018062152220839227,-0.018463241872571274,-0.019176570832099164,-0.07510670739867495,-0.026432376020466337,0.13203482914827844,1.0
